Age,Length,Otolith Weight
1,14.2,0.007
2,20.3,0.008
1,16.2,0.008
0,15.8,0.008
1,16.2,0.009
1,17.2,0.009
1,15.6,0.01
1,16.2,0.01
1,21.3,0.01
1,15.1,0.01
1,15.4,0.01
2,16.8,0.01
1,17.2,0.01
1,18.3,0.011
1,16.8,0.011
1,19.2,0.011
2,16.3,0.011
1,17.7,0.011
1,19.8,0.012
1,18.4,0.012
1,18,0.012
1,18.5,0.012
1,17.2,0.012
1,18.3,0.012
1,16.7,0.012
1,17.8,0.012
1,18.9,0.012
1,17.3,0.013
1,18.5,0.013
1,15.8,0.013
2,17.8,0.013
2,19.2,0.013
1,17.8,0.013
1,18.8,0.013
1,18.2,0.013
1,17.2,0.013
1,19.2,0.014
1,18.9,0.014
1,19.9,0.014
2,18.3,0.014
1,17.2,0.014
1,18.8,0.014
1,17.8,0.014
1,17.6,0.014
4,19.8,0.014
1,18.2,0.014
1,17.6,0.014
2,17.3,0.014
1,19.7,0.015
2,19.8,0.015
1,20,0.015
2,20.3,0.015
2,18.5,0.015
1,20.2,0.015
2,17.9,0.015
1,18,0.015
1,19.5,0.015
1,20.2,0.015
2,19.8,0.015
2,18.7,0.015
1,20.2,0.015
1,18.8,0.015
1,18.8,0.015
1,17.9,0.015
1,23.9,0.016
1,19.8,0.016
1,19.2,0.016
3,18.3,0.016
2,20.2,0.016
1,18.8,0.016
1,20.2,0.016
2,19,0.016
1,19.2,0.016
2,18.7,0.016
1,20,0.016
1,19.7,0.016
1,21.8,0.016
1,18.8,0.016
1,19.2,0.016
1,17,0.016
1,18.5,0.016
2,18.3,0.016
2,20,0.016
2,20.2,0.016
1,18.8,0.016
4,20.2,0.016
2,20.5,0.016
2,19.7,0.016
2,18.2,0.016
2,19.5,0.016
1,20.2,0.016
2,18,0.016
1,17.5,0.016
1,18.1,0.016
2,20.2,0.017
3,19.2,0.017
3,21.3,0.017
1,20.2,0.017
1,18.5,0.017
1,19.7,0.017
1,20.5,0.017
1,19.8,0.017
2,18.2,0.017
2,18.4,0.017
3,20.5,0.017
3,18.8,0.017
2,18.6,0.017
3,19.2,0.017
1,18.6,0.017
1,17.2,0.017
1,19.4,0.017
2,19.3,0.017
3,23.8,0.017
2,19.9,0.017
1,20.3,0.017
1,18.8,0.017
1,18.2,0.017
3,19.8,0.017
1,19.2,0.018
1,19.4,0.018
2,20.3,0.018
2,20.7,0.018
1,18.7,0.018
1,18.4,0.018
2,18.9,0.018
2,19.2,0.018
1,20.2,0.018
5,23,0.018
1,19.4,0.018
2,19,0.018
1,22.4,0.018
2,20.2,0.018
1,20.2,0.018
1,20.8,0.018
3,20.5,0.018
3,20.2,0.018
2,19.8,0.018
1,20.2,0.018
2,19.2,0.018
2,19.8,0.018
2,19,0.018
2,20.4,0.018
2,19.4,0.018
2,21.2,0.018
2,19.5,0.018
2,18.5,0.018
1,21.4,0.018
2,21.4,0.018
1,20.5,0.018
1,18.8,0.018
2,20.2,0.018
2,20.2,0.018
2,19.8,0.018
1,18.3,0.018
2,19.9,0.018
2,20.2,0.018
2,20.8,0.018
1,21.2,0.019
2,20.2,0.019
2,20.3,0.019
1,20.8,0.019
2,20.3,0.019
3,19.5,0.019
3,19.4,0.019
3,19.2,0.019
2,18.5,0.019
2,20.3,0.019
2,20.5,0.019
2,20.4,0.019
2,25.8,0.019
2,21.4,0.019
1,20.8,0.019
2,19.6,0.019
2,20.2,0.019
3,20.5,0.019
2,21.9,0.019
2,22.7,0.019
2,19.8,0.019
3,19.3,0.019
2,20.8,0.019
2,20.9,0.019
2,20.2,0.019
2,19.8,0.019
2,20.3,0.019
2,18,0.019
2,29,0.019
2,19.3,0.019
2,23.3,0.019
3,20.4,0.019
2,22.5,0.019
5,18.2,0.019
2,19.9,0.019
3,26.9,0.019
2,20.3,0.019
2,19.7,0.019
3,20.5,0.019
2,20.5,0.019
2,18.7,0.019
1,20.8,0.019
2,21.6,0.019
1,21.8,0.02
1,22.5,0.02
2,19.2,0.02
2,21.2,0.02
1,21.3,0.02
2,19.6,0.02
2,19.5,0.02
2,19,0.02
5,19.4,0.02
3,22.4,0.02
1,22.7,0.02
2,20.4,0.02
3,19.8,0.02
3,20.2,0.02
3,20.3,0.02
3,19.8,0.02
3,19.4,0.02
4,19.2,0.02
2,20.2,0.02
3,19.8,0.02
2,19.5,0.02
2,19.7,0.02
2,21.8,0.02
2,20.8,0.02
2,20,0.02
1,21.4,0.02
2,21.4,0.02
2,22.4,0.02
2,20.5,0.02
3,23.6,0.02
3,21.6,0.02
3,19.1,0.02
2,20.9,0.02
3,19.7,0.02
3,19.6,0.02
2,19.9,0.02
2,21,0.02
2,19.6,0.02
2,19.8,0.02
3,18.8,0.02
2,21.3,0.02
3,21.5,0.02
2,20.8,0.02
2,20.2,0.021
3,19.9,0.021
5,21.2,0.021
2,21.3,0.021
4,23.2,0.021
3,19.5,0.021
2,21,0.021
2,20.4,0.021
2,20.7,0.021
3,21.8,0.021
3,20.2,0.021
2,21.8,0.021
3,20.8,0.021
3,21.2,0.021
4,21,0.021
2,21.6,0.021
2,20.5,0.021
4,21,0.021
2,20.2,0.021
2,21.2,0.021
2,20.4,0.021
3,20.2,0.021
2,21.6,0.021
2,20.2,0.021
4,19.2,0.021
1,29.2,0.021
4,20.8,0.021
4,23.2,0.021
2,20.3,0.021
2,20.5,0.021
3,20.4,0.021
3,21.3,0.021
1,21.6,0.021
3,19.2,0.021
3,20,0.021
4,20,0.021
2,22.2,0.021
1,20.7,0.022
2,21.1,0.022
3,20.2,0.022
3,20.5,0.022
5,20.5,0.022
3,20.6,0.022
5,20.8,0.022
1,18.5,0.022
1,21.4,0.022
2,22.3,0.022
5,19.8,0.022
1,21.4,0.022
2,22,0.022
3,20.8,0.022
2,20.9,0.022
2,21.6,0.022
3,19.5,0.022
3,21.7,0.022
3,21.5,0.022
3,20.8,0.022
5,21.3,0.022
3,20.2,0.022
2,21.4,0.022
2,22,0.022
3,21.2,0.022
3,20.8,0.022
2,22.4,0.022
3,21.2,0.022
3,21.5,0.022
4,20.3,0.022
3,19.2,0.022
2,22.1,0.022
4,20,0.022
2,20.6,0.022
3,20.8,0.022
3,20.6,0.022
3,21.7,0.023
3,19.2,0.023
2,20.3,0.023
3,22.7,0.023
4,21.3,0.023
2,20.7,0.023
3,21.8,0.023
4,21.2,0.023
4,20.2,0.023
3,22.5,0.023
3,22.4,0.023
4,22.3,0.023
4,22.3,0.023
3,21.6,0.023
2,21.8,0.023
3,21.2,0.023
3,20.2,0.023
4,21.6,0.023
4,19.8,0.023
5,20.6,0.023
2,20.2,0.023
2,21.7,0.023
3,21.4,0.023
4,20,0.023
2,22.4,0.023
4,21.5,0.023
3,21.3,0.023
4,20.6,0.023
2,23.5,0.023
3,21.5,0.023
2,21.7,0.023
3,21.5,0.023
2,21.8,0.023
3,21.5,0.023
5,20.4,0.023
3,20.8,0.023
3,20.5,0.023
3,20.8,0.023
2,21.2,0.023
3,20.2,0.023
2,22.3,0.023
3,20,0.023
2,23.4,0.023
2,21.3,0.023
2,20.9,0.023
2,20.4,0.024
3,20.5,0.024
4,23.4,0.024
2,21.3,0.024
4,21,0.024
3,21,0.024
2,22.6,0.024
2,25.4,0.024
4,19.5,0.024
4,21.8,0.024
4,21.2,0.024
3,20.4,0.024
2,22.6,0.024
2,20.8,0.024
3,20.1,0.024
3,21,0.024
3,20.2,0.024
5,21.8,0.024
3,20.2,0.024
2,21.8,0.024
2,21.8,0.024
2,22.5,0.024
3,23.2,0.024
3,23.4,0.024
1,21.4,0.024
2,20.8,0.024
2,20.6,0.024
5,20.9,0.024
4,20.2,0.024
1,19.2,0.024
3,20.2,0.024
2,22,0.024
2,22,0.024
2,23.4,0.024
4,23.2,0.024
4,21.5,0.024
5,19.8,0.024
2,21.5,0.025
3,22.3,0.025
3,21.8,0.025
4,20.8,0.025
3,19.8,0.025
4,27.4,0.025
2,21.6,0.025
2,29.6,0.025
4,20.4,0.025
3,23.2,0.025
2,21.4,0.025
3,21.5,0.025
3,22.6,0.025
4,21.8,0.025
4,20.5,0.025
2,22.9,0.025
5,20.8,0.025
4,21.8,0.025
5,21.6,0.025
2,17.6,0.025
3,22.2,0.025
2,19.4,0.025
3,20.1,0.025
4,20.5,0.025
3,20.6,0.025
3,23.5,0.025
3,19.3,0.025
3,22.2,0.025
3,20.4,0.025
4,21,0.025
4,20.8,0.025
3,20.7,0.025
6,19.3,0.025
3,24.8,0.025
2,23.5,0.025
3,21.8,0.025
3,23.4,0.026
1,25.1,0.026
3,23.6,0.026
5,21.9,0.026
4,20.4,0.026
4,22,0.026
2,20.5,0.026
5,22.6,0.026
3,20.2,0.026
4,20.8,0.026
5,20.1,0.026
4,22,0.026
4,22.6,0.026
3,20.3,0.026
2,22.4,0.026
4,23.7,0.026
3,21.8,0.026
4,20.7,0.026
4,22.4,0.026
3,22.2,0.026
7,21.2,0.026
3,20,0.026
4,29,0.026
11,20,0.026
4,21,0.026
2,23,0.026
2,22.6,0.026
2,22.3,0.026
4,24.8,0.026
4,21.4,0.026
2,25.1,0.026
2,25.7,0.026
3,20.9,0.026
2,23.3,0.026
4,21.2,0.026
4,20.9,0.026
5,21.5,0.026
3,22.8,0.026
4,21.8,0.026
3,24.5,0.026
2,22.1,0.026
4,20,0.026
5,22.2,0.026
2,22.8,0.026
5,22.4,0.027
4,22.3,0.027
4,23.3,0.027
4,21.2,0.027
3,22.8,0.027
9,23,0.027
2,23.2,0.027
3,23.8,0.027
3,23.3,0.027
3,22.8,0.027
3,22.5,0.027
3,22.2,0.027
4,20.2,0.027
4,22.4,0.027
5,22.3,0.027
3,22.3,0.027
5,22.3,0.027
2,22.9,0.027
4,20.3,0.027
4,21.7,0.027
3,21.5,0.027
3,23.6,0.027
3,21.3,0.027
3,20.5,0.027
5,21.6,0.027
5,22.8,0.027
4,20.9,0.027
4,20.8,0.027
3,21.2,0.027
4,22.2,0.027
2,22.3,0.027
3,23,0.027
4,23,0.027
4,23,0.027
3,21.2,0.027
2,24.2,0.027
3,24.6,0.027
3,22.4,0.027
3,22.8,0.027
2,24.2,0.027
4,20.9,0.027
4,22,0.027
5,22.4,0.027
4,19.6,0.027
2,22.2,0.027
3,20.6,0.027
3,21.5,0.027
4,21,0.027
3,23,0.027
3,24.2,0.027
3,23.2,0.027
3,20.6,0.027
5,23.5,0.027
4,20.2,0.027
4,22.6,0.028
3,24,0.028
5,23.4,0.028
4,23,0.028
4,22.3,0.028
5,20,0.028
5,20,0.028
2,21.8,0.028
5,23.9,0.028
3,22.6,0.028
3,24.4,0.028
3,23.7,0.028
3,22.7,0.028
5,22.8,0.028
3,22.5,0.028
3,24.1,0.028
4,21.8,0.028
4,22.5,0.028
6,21.3,0.028
